title,price,location,url,description
Strong New Oshwal Plastic Metal Tubing Chairs.,"KSh 1,400","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/furniture/strong-new-oshwal-plastic-metal-tubing-chairs-wgpK7gtqOBbwXTDWkRBDanES.html?page=1&pos=23&cur_pos=23&ads_per_page=26&lid=r-KxzogB82qSe3OjBs&indexPosition=22,"Verified IDKSh 1,400Strong New Oshwal Plastic Metal Tubing Chairs.Strong New Oshwal Plastic metal tubing chairs.
Pay after delivery. Delivery is charged. 
We assure...Brand NewNairobi, Nairobi Central"
"KSh 1,400","KSh 1,400",,,"KSh 1,400"
Toyota ISIS 1.8 Platana 2WD 2012 Gray,"KSh 700,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/cars/toyota-isis-1-8-platana-2wd-2012-gray-dKkStqh8Tuozt7ra0PRjRNYe.html?page=1&pos=4&cur_pos=4&ads_per_page=26&lid=r-KxzogB82qSe3OjBs&indexPosition=3,"KSh 700,000Toyota ISIS 1.8 Platana 2WD 2012 GrayA daily use. Clean and logbook readyLocal UsedCVTNairobi, Nairobi Central"
"KSh 700,000","KSh 700,000",,,"KSh 700,000"
"A daily use. Clean and logbook readyLocal UsedCVTNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"A daily use. Clean and logbook readyLocal UsedCVTNairobi, Nairobi Central"
A daily use. Clean and logbook ready,,,,A daily use. Clean and logbook ready
Local UsedCVT,,,,Local UsedCVT
Toyota Aqua 2015 Silver,"KSh 850,000","Mombasa, Mombasa CBD",https://jiji.co.ke/mombasa-cbd/cars/toyota-aqua-2015-silver-83Wq4VG62mK9WzeNZegizZAH.html?page=1&pos=8&cur_pos=8&ads_per_page=26&lid=r-KxzogB82qSe3OjBs&indexPosition=7,"ENTERPRISEKSh 850,000Toyota Aqua 2015 SilverFully loaded Toyota Aqua 
Very clean unit
Still in good condition
Original paint
Hybrid
Accident...Local UsedAutomaticMombasa, Mombasa CBD"
"KSh 850,000","KSh 850,000",,,"KSh 850,000"
Fully loaded Toyota Aqua,,"Mombasa, Mombasa CBD",,"Fully loaded Toyota Aqua 
Very clean unit
Still in good condition
Original paint
Hybrid
Accident...Local UsedAutomaticMombasa, Mombasa CBD"
Headlamp Lens Suzuki Alto Ha36s,"KSh 3,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/car-parts-and-accessories/headlamp-lens-suzuki-alto-ha36s-pXK5qTU0C67Fk1rPBgjhwdw7.html?page=1&pos=12&cur_pos=12&ads_per_page=26&lid=r-KxzogB82qSe3OjBs&indexPosition=11,"KSh 3,000Headlamp Lens Suzuki Alto Ha36sHeadlight lens suzuki alto ha36sBrand NewNairobi, Nairobi Central"
"Headlight lens suzuki alto ha36sBrand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Headlight lens suzuki alto ha36sBrand NewNairobi, Nairobi Central"
Headlight lens suzuki alto ha36s,,,,Headlight lens suzuki alto ha36s
Mopar Iridium Spark Plug,"KSh 3,500","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/car-parts-and-accessories/mopar-iridium-spark-plug-pa6ew2mEZHbqYD2VWSTaSpLn.html?page=1&pos=16&cur_pos=16&ads_per_page=26&lid=r-KxzogB82qSe3OjBs&indexPosition=15,"KSh 3,500Mopar Iridium Spark PlugMopar jeep wrangler / jeep grand cherokee v6 3.6 l spark plug part no : sp149125adBrand NewNairobi, Nairobi Central"
"KSh 3,500","KSh 3,500",,,"KSh 3,500"
"Mopar jeep wrangler / jeep grand cherokee v6 3.6 l spark plug part no : sp149125adBrand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Mopar jeep wrangler / jeep grand cherokee v6 3.6 l spark plug part no : sp149125adBrand NewNairobi, Nairobi Central"
Mopar jeep wrangler / jeep grand cherokee v6 3.6 l spark plug part no : sp149125ad,,,,Mopar jeep wrangler / jeep grand cherokee v6 3.6 l spark plug part no : sp149125ad
"School Single Mattress 2.5*6*4""","KSh 1,999","Nairobi, Gikomba/Kamukunji",https://jiji.co.ke/gikomba/furniture/school-single-mattress-2-5-6-4-ze3NPvVSQoFYmdMOu5pWUbwz.html?page=1&pos=20&cur_pos=20&ads_per_page=26&lid=r-KxzogB82qSe3OjBs&indexPosition=19,"Verified IDKSh 1,999School Single Mattress 2.5*6*4""Get School Mattress 
2.5*6*4"" 
Available 
Buy today get today
Delivery country wideBulk pricesBrand NewNairobi, Gikomba/Kamukunji"
"KSh 1,999","KSh 1,999",,,"KSh 1,999"
Get School Mattress,,"Nairobi, Gikomba/Kamukunji",,"Get School Mattress 
2.5*6*4"" 
Available 
Buy today get today
Delivery country wideBulk pricesBrand NewNairobi, Gikomba/Kamukunji"
Bulk pricesBrand New,,,,Bulk pricesBrand New
Bulk prices,,,,Bulk prices
"Nairobi, Gikomba/Kamukunji",,"Nairobi, Gikomba/Kamukunji",,"Nairobi, Gikomba/Kamukunji"
Storage Cabinets; Custom Made 2 Door Gray Wooden Cupboard,"KSh 13,000","Nairobi, Mombasa Road",https://jiji.co.ke/mombasa-road/furniture/storage-cabinets-custom-made-2-door-gray-wooden-cupboard-wac1ek7amJlHwWqTXxGe5UxX.html?page=1&pos=24&cur_pos=24&ads_per_page=26&lid=r-KxzogB82qSe3OjBs&indexPosition=23,"KSh 13,000Storage Cabinets; Custom Made 2 Door Gray Wooden CupboardThis Custom Made 2 Door Gray Wooden Cupboard exudes both elegance and practicality, offering ample...Brand NewNairobi, Mombasa Road"
"KSh 13,000","KSh 13,000",,,"KSh 13,000"
"This Custom Made 2 Door Gray Wooden Cupboard exudes both elegance and practicality, offering ample...Brand NewNairobi, Mombasa Road",,"Nairobi, Mombasa Road",,"This Custom Made 2 Door Gray Wooden Cupboard exudes both elegance and practicality, offering ample...Brand NewNairobi, Mombasa Road"
"This Custom Made 2 Door Gray Wooden Cupboard exudes both elegance and practicality, offering ample...",,,,"This Custom Made 2 Door Gray Wooden Cupboard exudes both elegance and practicality, offering ample..."
